Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Mới Teraco 100 DaeHen 2020,100 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337475/gallery/936x624-5fc0a5da4df5a.jpg', 'https://choxe.net/uploads/auto/202011/337475/gallery/936x624-5fc0a5da50fe0.jpg', 'https://choxe.net/uploads/auto/202011/337475/gallery/936x624-5fc0a5da53d4a.jpg', 'https://choxe.net/uploads/auto/202011/337475/gallery/936x624-5fc0a5da47ffa.jpg', 'https://choxe.net/uploads/auto/202011/337475/gallery/936x624-5fc0a5da4b0c9.jpg']"
Xe Mới KIA K K250 2020,395 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,RWD: Cầu sau,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202011/337474/gallery/936x624-5fc0974434d7e.jpg', 'https://choxe.net/uploads/auto/202011/337474/gallery/936x624-5fc09744367c3.jpg', 'https://choxe.net/uploads/auto/202011/337474/gallery/936x624-5fc09744382e7.jpg', 'https://choxe.net/uploads/auto/202011/337474/gallery/936x624-5fc0974433bbb.jpg']"
Xe Mới Isuzu N-series NQR 550 2020,760 triệu,Mới,10 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337472/gallery/936x624-5fc084a1e6292.jpg', 'https://choxe.net/uploads/auto/202011/337472/gallery/936x624-5fc084a1e1cc5.jpg', 'https://choxe.net/uploads/auto/202011/337472/gallery/936x624-5fc084a1dfaac.jpg', 'https://choxe.net/uploads/auto/202011/337472/gallery/936x624-5fc084a1de4f3.jpg']"
Xe Mới Ford Ranger XLS MT 2020,615 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe Bán tải,2020,RWD: Cầu sau,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337457/gallery/936x624-5fbf43ece606d.jpg', 'https://choxe.net/uploads/auto/202011/337457/gallery/936x624-5fbf43fc68513.jpg', 'https://choxe.net/uploads/auto/202011/337457/gallery/936x624-5fbf43ece8343.jpg', 'https://choxe.net/uploads/auto/202011/337457/gallery/936x624-5fbf43eceb99d.jpg']"
Xe Mới Mitsubishi Xpander 2.0 AT 2020,630 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,MPV,2020,FWD: Cầu trước,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337430/gallery/936x624-5fbcd58c82e49.jpg', 'https://choxe.net/uploads/auto/202011/337430/gallery/936x624-5fbcd58c7f372.jpg']"
Xe Mới Volkswagen Tiguan Luxury S 2019,1.869 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,4WD: 4 bánh,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d37c610a.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d37d9da0.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d37e7b58.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d37f3e57.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3807a67.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3812e86.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d381dc30.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3826737.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3834c73.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3836691.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3839b9e.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d383d0ae.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d383e8bc.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3840018.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3842f9f.jpg', 'https://choxe.net/uploads/auto/202011/337413/gallery/936x624-5fbb5d3844444.jpg']"
Xe Mới Land Rover Range Rover Autobiography L 2020,9.9 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,SUV,2020,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3df281c.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3df3c76.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e1a6c4.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e01697.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e05260.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e070d9.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e08f99.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e0f994.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e033a6.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e11a8f.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e181d4.jpg', 'https://choxe.net/uploads/auto/202011/337409/gallery/936x624-5fba6e3e1ca78.jpg']"
Xe Mới Hino Chuyên Dụng XZU720 2020,645 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337406/gallery/936x624-5fba12e23a73e.jpg', 'https://choxe.net/uploads/auto/202011/337406/gallery/936x624-5fba12e2373af.jpg', 'https://choxe.net/uploads/auto/202011/337406/gallery/936x624-5fba12e238ef4.jpg', 'https://choxe.net/uploads/auto/202011/337406/gallery/936x624-5fba12e23bfb3.jpg', 'https://choxe.net/uploads/auto/202011/337406/gallery/936x624-5fba12e23db10.jpg']"
Xe Mới KIA Sedona V4 2020,1.7 tỷ ,Mới,0 km,Số tự động,Dầu,Cá nhân,MPV,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337397/gallery/936x624-5fb88f7c54f6f.jpg', 'https://choxe.net/uploads/auto/202011/337397/gallery/936x624-5fb88f7c4ec0c.jpg', 'https://choxe.net/uploads/auto/202011/337397/gallery/936x624-5fb88f7c50993.jpg', 'https://choxe.net/uploads/auto/202011/337397/gallery/936x624-5fb88f7c523ef.jpg', 'https://choxe.net/uploads/auto/202011/337397/gallery/936x624-5fb88f7c5595a.jpg']"
Xe Mới Toyota Vios E 2020,470 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202011/337391/gallery/936x624-5fb772b8dd686.jpg', 'https://choxe.net/uploads/auto/202011/337391/gallery/936x624-5fb772b8db226.jpg', 'https://choxe.net/uploads/auto/202011/337391/gallery/936x624-5fb772b8dc303.jpg']"
Xe Mới Toyota Vios 1.5E MT 2020,478 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Cát cháy,Trong nước,"['https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db48ee704.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db48f2009.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db48e7a93.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db48eadd6.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db48d7010.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db490bc19.jpg', 'https://choxe.net/uploads/auto/202011/337355/gallery/936x624-5fb4db49146dc.jpg']"
Xe Mới Ford Ranger XLS 2020,630 triệu,Mới,0 km,Số tự động,Dầu,Cá nhân,Xe Bán tải,2020,FWD: Cầu trước,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769de67.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769ba21.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769c8c0.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b76a01b5.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b76a0c34.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769e9a0.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769f64b.jpg', 'https://choxe.net/uploads/auto/202011/337337/gallery/936x624-5fb37b769d3f1.jpg']"
Xe Mới Hyundai I10 MT 2020,310 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337332/gallery/936x624-5fb33fabb114c.jpg', 'https://choxe.net/uploads/auto/202011/337332/gallery/936x624-5fb33fabb477b.jpg', 'https://choxe.net/uploads/auto/202011/337332/gallery/936x624-5fb33fabb20fc.jpg']"
Xe Mới Nissan X-Trail 2.5 SV 4WD 2020,923 triệu,Mới,10 km,Số tự động,Xăng,Cá nhân,SUV,2020,4WD: 4 bánh,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337330/gallery/936x624-5fb32ea700869.jpg', 'https://choxe.net/uploads/auto/202011/337330/gallery/936x624-5fb32ea6d817e.jpg', 'https://choxe.net/uploads/auto/202011/337330/gallery/936x624-5fb32ea7106d6.jpg', 'https://choxe.net/uploads/auto/202011/337330/gallery/936x624-5fb32ea71cb91.jpg']"
Xe Mới Mazda 6 2.0 Luxury 2020,829 triệu,Mới,20 km,Số tự động,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337324/gallery/936x624-5fb2623641604.jpg', 'https://choxe.net/uploads/auto/202011/337324/gallery/936x624-5fb26236473b4.jpg', 'https://choxe.net/uploads/auto/202011/337324/gallery/936x624-5fb262364d8d8.jpg', 'https://choxe.net/uploads/auto/202011/337324/gallery/936x624-5fb262363929d.jpg', 'https://choxe.net/uploads/auto/202011/337324/gallery/936x624-5fb2623633af2.jpg']"
Xe Mới Mazda 3 AT 2020,699 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2020,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337319/gallery/936x624-5fb1f69928cf6.jpg', 'https://choxe.net/uploads/auto/202011/337319/gallery/936x624-5fb1f6992f9a3.jpg', 'https://choxe.net/uploads/auto/202011/337319/gallery/936x624-5fb1f6992aedd.jpg', 'https://choxe.net/uploads/auto/202011/337319/gallery/936x624-5fb1f6992c900.jpg', 'https://choxe.net/uploads/auto/202011/337319/gallery/936x624-5fb1f6992e1ae.jpg']"
Xe Mới Mazda 3 Premium 2.0 2019,781 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896e056b.jpg', 'https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896ec79b.jpg', 'https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896e6728.jpg', 'https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896e9797.jpg', 'https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896e36c9.jpg', 'https://choxe.net/uploads/auto/202011/337288/gallery/936x624-5fae2896ef97f.jpg']"
Xe Mới Hyundai Accent 1.4 MT 2019,426 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257aa8b8.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257afcb5.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257a7d91.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257a9408.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257abdd4.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257ad254.jpg', 'https://choxe.net/uploads/auto/202011/337287/gallery/936x624-5fae1257ae681.jpg']"
Xe Mới KIA K 200 2020,349 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337284/gallery/936x624-5fae05cc4cc75.jpg', 'https://choxe.net/uploads/auto/202011/337284/gallery/936x624-5fae05cc4eff0.jpg', 'https://choxe.net/uploads/auto/202011/337284/gallery/936x624-5fae05cc53076.jpg', 'https://choxe.net/uploads/auto/202011/337284/gallery/936x624-5fae05cc53dc9.jpg', 'https://choxe.net/uploads/auto/202011/337284/gallery/936x624-5fae05cc48701.jpg']"
Xe Mới MG ZS 2020,490 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a8ee8.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433aa15c.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433ab360.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a2621.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad04339fa21.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a6a5d.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad04339e4b8.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a16b6.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a3980.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a48ef.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a591a.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a7d37.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433ac723.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433adb6a.jpg', 'https://choxe.net/uploads/auto/202011/337277/gallery/936x624-5fad0433a08d6.jpg']"
Xe Mới Suzuki Celerio AT 2019,359 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2019,FWD: Cầu trước,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffaf8cf53.jpg', 'https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffaf8e748.jpg', 'https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffd40f2e5.jpg', 'https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffd41140c.jpg', 'https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffaf8f782.jpg', 'https://choxe.net/uploads/auto/202011/337276/gallery/936x624-5facffd410591.jpg']"
Xe Mới KIA Cerato 1.6 AT DELUXE 2020,629 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337266/gallery/936x624-5facad16ef902.jpg', 'https://choxe.net/uploads/auto/202011/337266/gallery/936x624-5facad2ad0834.jpg', 'https://choxe.net/uploads/auto/202011/337266/gallery/936x624-5facad16ee1c4.jpg', 'https://choxe.net/uploads/auto/202011/337266/gallery/936x624-5facad2acd977.jpg', 'https://choxe.net/uploads/auto/202011/337266/gallery/936x624-5facad16f2ffe.jpg']"
Xe Mới Ford EcoSport AT 2020,603 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2020,FWD: Cầu trước,Màu khác,Trong nước,"['https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345ddf487.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345ddde2a.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dda151.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd8e1c.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd3a6c.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345ddc93f.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd654f.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345ddb5c0.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd060f.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd25ae.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd51aa.jpg', 'https://choxe.net/uploads/auto/202011/337244/gallery/936x624-5faa345dd7b48.jpg']"
Xe Mới Toyota Vios MT 2017,350 triệu,Mới,"100,000 km",Số sàn,Xăng,Cá nhân,MPV,2017,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337240/gallery/936x624-5faa1125574d1.jpg', 'https://choxe.net/uploads/auto/202011/337240/gallery/936x624-5faa112565705.jpg', 'https://choxe.net/uploads/auto/202011/337240/gallery/936x624-5faa112572802.jpg', 'https://choxe.net/uploads/auto/202011/337240/gallery/936x624-5faa11258050a.jpg', 'https://choxe.net/uploads/auto/202011/337240/gallery/936x624-5faa11255bbc4.jpg']"
Xe Mới Mitsubishi Outlander 2020 2020,825 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,4WD: 4 bánh,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29e6dc4.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29e3f80.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29dc7e9.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29e12cc.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29deb07.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29c77ec.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29c8b49.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29c9a6f.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29ca9f8.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29cdcfb.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29ceecf.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29d0196.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29d1451.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29d29a0.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29d4105.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29d8f5f.jpg', 'https://choxe.net/uploads/auto/202011/337219/gallery/936x624-5fa8af29daab0.jpg']"
Xe Mới Peugeot 5008 Allure 2020,1.249 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67457e2.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67437c0.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67447e1.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae674685f.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae6750e29.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae6754a55.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae674b057.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae674ef70.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67424aa.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67479c5.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae6749202.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae674cf5c.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae6752d03.jpg', 'https://choxe.net/uploads/auto/202011/337218/gallery/936x624-5fa8ae67569ca.jpg']"
Xe Mới Hyundai Kona Turbo 2020,729 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337216/gallery/936x624-5fa8a037490d0.jpg', 'https://choxe.net/uploads/auto/202011/337216/gallery/936x624-5fa8a03750799.jpg', 'https://choxe.net/uploads/auto/202011/337216/gallery/936x624-5fa8a0374ba27.jpg', 'https://choxe.net/uploads/auto/202011/337216/gallery/936x624-5fa8a0374d1c5.jpg', 'https://choxe.net/uploads/auto/202011/337216/gallery/936x624-5fa8a0374e8dc.jpg']"
Xe Mới Mazda CX-8 Premium 2020,1.149 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c06cc.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c16e5.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c7aac.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c23a2.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c399e.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c5059.jpg', 'https://choxe.net/uploads/auto/202011/337210/gallery/936x624-5fa79860c65ef.jpg']"
Xe Mới Hyundai I10 1.2 MT 2020,315 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Hatchback,2020,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337203/gallery/936x624-5fa75887526cd.jpg', 'https://choxe.net/uploads/auto/202011/337203/gallery/936x624-5fa7588755ae9.jpg', 'https://choxe.net/uploads/auto/202011/337203/gallery/936x624-5fa75887546d0.jpg', 'https://choxe.net/uploads/auto/202011/337203/gallery/936x624-5fa7588756e25.jpg']"
Xe Mới Hyundai Porter H150 2020,369 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202011/337199/gallery/936x624-5fa642dec1c08.jpg', 'https://choxe.net/uploads/auto/202011/337199/gallery/936x624-5fa642ded29fa.jpg', 'https://choxe.net/uploads/auto/202011/337199/gallery/936x624-5fa642dedfec9.jpg']"
Xe Mới Hãng Khác Xe Tải TERA240L 2019,348 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2019,RWD: Cầu sau,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337197/gallery/936x624-5fa62a414476c.jpg', 'https://choxe.net/uploads/auto/202011/337197/gallery/936x624-5fa62a414c9f9.jpg', 'https://choxe.net/uploads/auto/202011/337197/gallery/936x624-5fa62a4146c74.jpg', 'https://choxe.net/uploads/auto/202011/337197/gallery/936x624-5fa62a4147e33.jpg']"
Xe Mới Honda CR-V G 2020,998 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c77835ece.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c7788ac22.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c77857d71.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c7783ef33.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c7786d664.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c778849d0.jpg', 'https://choxe.net/uploads/auto/202011/337167/gallery/936x624-5fa3c778ae2ce.jpg']"
Xe Mới Hyundai Accent MT 2020,463 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337154/gallery/936x624-5fa279edb0069.jpg', 'https://choxe.net/uploads/auto/202011/337154/gallery/936x624-5fa279edb3a2d.jpg', 'https://choxe.net/uploads/auto/202011/337154/gallery/936x624-5fa279edb6cd7.jpg', 'https://choxe.net/uploads/auto/202011/337154/gallery/936x624-5fa279edba056.jpg', 'https://choxe.net/uploads/auto/202011/337154/gallery/936x624-5fa279edbcb5c.jpg']"
Xe Mới Ford EcoSport Titanium 2020,648 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2020,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202011/337153/gallery/936x624-5fa26fb9709f1.jpg', 'https://choxe.net/uploads/auto/202011/337153/gallery/936x624-5fa26fb971f89.jpg', 'https://choxe.net/uploads/auto/202011/337153/gallery/936x624-5fa26fb9769b5.jpg', 'https://choxe.net/uploads/auto/202011/337153/gallery/936x624-5fa26fb972f3b.jpg', 'https://choxe.net/uploads/auto/202011/337153/gallery/936x624-5fa26fb973eda.jpg']"
Xe Mới KIA K 200 2020,344 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2020,RWD: Cầu sau,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202011/337141/gallery/936x624-5fa21eeb559dd.jpg', 'https://choxe.net/uploads/auto/202011/337141/gallery/936x624-5fa21eeb4cb66.jpg', 'https://choxe.net/uploads/auto/202011/337141/gallery/936x624-5fa21eeb4e759.jpg', 'https://choxe.net/uploads/auto/202011/337141/gallery/936x624-5fa21eeb51f1c.jpg', 'https://choxe.net/uploads/auto/202011/337141/gallery/936x624-5fa21eeb4aa3a.jpg']"
